month,mean,median,std,min,max
22-09-2,48.53649650277777,48.20209122,8.333828515401564,21.01100349,75.64405823
22-10-2,36.87731948367361,37.61592102,5.784644824152513,18.98672676,53.5891304
23-01-2,39.33311422497222,38.957540515,6.658416484537313,14.62671185,75.82924652
23-02-2,32.45788170960763,32.91449928,5.133553657483548,14.92191029,53.32539749
23-03-2,31.508405778503473,31.755472179999998,5.183475224164827,13.51184177,52.02773666
23-04-2,32.322846986138885,32.721157074999994,5.346182192003727,16.36407661,45.44165421
23-05-2,39.740968678368056,37.41567421,10.550303078098876,13.51083279,94.35838318
23-06-2,48.09260895748958,48.085842135,10.443804517376416,13.51110172,93.60115051
23-07-2,58.17819721504166,58.33519554,12.28655315371346,19.86102867,114.6190414
23-08-2,55.143109293083334,52.977024075,13.89981251191057,29.18201447,123.6605988
23-09-2,36.1502893183125,35.819511415,8.466392783431154,13.51083279,67.49906158
23-10-2,29.384129794406253,29.551609990000003,4.770054493403794,16.12065697,45.95740128
24-01-2,40.57789020250347,41.17897606,8.102704817421264,13.51083279,75.06620026
24-02-2,31.857628144086807,32.260391235,5.01180538427621,13.51083279,47.56674576
24-03-2,30.727315866961806,30.370106695,5.55205301363227,13.51083279,52.80687714
24-04-2,34.05195612313541,34.570064545,5.618114472695187,16.21582794,52.71818924
24-05-2,40.50202894348611,39.361547470000005,9.101476962355115,17.57577896,85.27284241
24-06-2,52.372429647996526,49.195722579999995,14.614823078045536,13.92519093,132.4554749
24-07-2,52.560210201795144,53.252637865,12.7597199436494,13.51104259,116.6285019
24-08-2,61.02631056641667,58.920110705,14.884920439699563,18.07416534,127.3830032
24-09-2,32.283444299940975,31.265675545,6.014775765391586,18.47981834,55.6762886
24-10-2,34.01361912688195,33.686738965,5.931783224720996,20.51612282,62.32197571
25-01-2,38.300209242461804,38.759075165,7.5041646347406985,13.51083279,69.69458008
25-02-2,34.95241494909028,35.58603668,5.705566338367902,19.65486336,51.82413101
25-03-2,29.64107980795486,29.617551804999998,4.61542659961026,13.51083279,47.81125259
25-04-2,33.59296966786111,32.989898679999996,6.500342879697335,13.51181126,64.31797028
25-05-2,38.333146143250005,38.1734581,7.7116284241853394,14.22990894,59.84766769
25-06-2,50.64780330853472,51.066511155,10.012212777583148,18.40083313,86.46006775
25-07-2,37.95776978822222,38.15416527,8.303775227494983,13.51083279,83.6936264
25-08-2,62.978720704086804,61.528532025,15.411628312448414,25.48783684,119.4413071
25-09-2,45.49124093250695,44.96501541,7.985520093118224,21.08141899,81.96330261
25-10-2,30.337907908322915,30.063700675,4.183931181722354,17.6578846,46.13844299
26-01-2,34.19543201962153,34.38768196,4.751249087822018,13.88203144,54.14991379
